LOAN,MORTDUE,VALUE,YOJ,CLAGE,CLNO,DEBTINC
4100,58500,65000,8,63.93333333,15,
4100,57992,63797,7,165.505037,31,22.27817437
4200,56544,59218,19,211.0025991,20,19.02770443
4200,34800,50225,2,93.5,5,
4200,67700,77000,4,128.8333333,31,
4200,44000,55085,6,75.43333333,16,
4200,66272,82953,3,110.2786626,15,43.45058791
4200,50216,58541,19,209.8713022,19,20.20803267
4300,71206,78698,3,129.932869,31,34.18137652
4300,68815,79852,6,105.1207088,14,41.80637615
4300,72021,80027,2,263.9703003,5,36.43209394
4400,53969,63869,7,162.3900107,30,23.58107924
4400,,60250,,,,
4400,53091,64074,14,89.86105825,17,39.15808483
4500,66127,79087,4,81.3490651,15,40.70530876
4500,,77182,,,,25.2272529
4500,39000,66000,1,170.3666667,19,
4500,71082,79247,4,118.7604101,14,41.42111052
4500,,49044,0,,0,11.6527388
4500,57000,,5,222.6,13,
4500,34184,46000,3.5,122.6,22,
4500,66517,87000,10,125.8,34,
4500,45500,50000,6,86.16666667,18,
4500,118000,146870,4.5,203.8666667,20,
4500,90000,105800,6,80.1,10,
4700,67913,97205,2,142.8243915,24,35.22699719
4700,71855,88566,2,283.9595381,5,36.47547328
4700,53918,59511,6,54.13647743,15,34.41650781
4700,49100,58238,0.1,61.8,17,
4700,88026,115506,6,182.2483316,27,29.20902258
4700,26900,45000,9,90.46666667,16,
4800,67317,97191,3,137.3197248,23,34.27529378
4800,56067,63102,9,160.1463113,30,21.58376012
4800,80482,88342,7,275.0323948,11,43.71763511
4900,58688,63348,9,179.1625747,31,22.54439284
4900,65873,90408,2,141.858999,23,37.76961861
4900,25597,23031,5,101.7467664,8,33.24315698
4900,67794,84630,4,112.5734189,15,41.67399636
4900,44000,59745,10,81.5,13,
4900,,28437.5,,,,
4900,170986,245300,,131.9333333,22,
4900,65576,65774,6,61.64250608,14,40.59091002
4900,57461,68494,8,183.6356132,30,22.79542355
4900,,69706,,,,33.70558774
5000,,34846,,,,33.35465263
5000,47479,61690,5,65.03296901,16,36.69941492
5000,66839,87168,4,122.5972226,15,40.61677935
5000,12457,53448,,207.1434813,12,44.10795169
5000,90059,113714,7,193.6364469,28,25.89731648
5000,22320,34900,10,65.7,5,
5000,40000,70500,0.4,61.76666667,8,
5000,100882,102700,5,58.86666667,16,
5000,31000,47350,12,,,
5000,63125,126500,3,100.3,14,
5000,100000,129693.5,13,,,
5000,,132000,17.5,121.9,14,
5000,,9100,1,54.73333333,8,
5000,34200,50830,6,57,9,
5000,,71277,10,72.43333333,12,
5000,123000,157500,9,,,
5000,16600,25250,6,88.7,3,
5000,,52000,,285.3333333,6,
5000,22700,34225,4,74.63333333,9,
5000,6000,38575,7,335.0333333,42,
5000,,74500,19,,,
5000,,94119,19,,,
5000,73126,87500,1,125.9666667,10,
5000,72517,86250,19,300.3666667,24,
5000,26037,35000,12,182.6333333,13,
5000,39000,50340,10,179.8333333,19,
5000,,26550,1.7,276.9666667,14,
5000,70470,77908,5,,,
5000,,36375,3,266.8,26,
5000,74225,89640,0.3,,,
5000,,65400,1.5,51.76666667,4,
5000,,37500,,107.1333333,5,
5000,78565,98500,24,51.76666667,14,
5000,59900,80800,15,219.1333333,18,
5000,10171,26809,13,228.3,24,
5000,78893,82600,16,133.9,34,
5000,85165,107940,6,122.7666667,28,
5000,68000,75616,0.1,131.8666667,30,
5000,71571,85100,1.4,82.13333333,13,
5000,28000,36810,2,222.2,6,
5000,40000,32480,8,163.3666667,16,
5000,81748,,14,144.0666667,17,
5000,44674,59375,10,178.6925087,19,26.44819746
5000,61999,75021.3,5,97.1,23,
5000,80153,97275,1,120.6750632,10,37.51270841
5000,68739,93435,3,148.7204047,23,36.66927861
5000,51209,55320,5,69.1074656,15,35.02507297
5000,46696,85202,2,148.3406455,14,46.489874
5000,,46281,2,257.6522064,26,40.95258888
5000,66435,82819,2,125.1306256,14,42.18353867
5100,179725,251962,,127.4988134,22,40.30825936
5100,85583,115341,7,177.9582551,28,26.25797013
5100,72891,80691,1,273.8817052,6,39.85214652
5100,30755,46735,10,69,17,
5100,,26715,1,258.7892976,14,26.72234334
5100,87258,121382,6,181.6630402,28,25.44475915
5100,,28291,2,277.9445608,14,23.64469128
5100,9900,30451,11,21.2,2,
5100,93000,116875,10,417.6333333,50,
5100,15500,34000,0,86.23333333,13,
5100,129319,141875,7,157.8598021,36,25.65074122
5100,66834,87361,0,290.034108,6,38.76698507
5100,73882,96031,0,125.7874001,10,34.44607922
5100,74071,97064,0,121.0759726,9,36.40172955
5100,62702,79784,2,108.0725908,15,43.29013982
5200,,36425,2,266.8134646,14,23.79740106
5200,67000,77000,9,119.7,25,
5200,43039,53521,11,184.2966873,19,24.41476318
5200,19000,26000,0,17.2,7,
5200,,9500,1,81.1,2,
5200,91250,110000,24,123.7666667,12,
5200,16324,45187,,221.1180817,11,42.71209384
5200,40564,39527,0,157.7710357,13,72.67043331
5300,73698,84427,4,,,19.13120118
5300,66987,65111,4,175.3287038,22,40.44257039
5300,26908,36078,,302.3587095,8,39.1969854
5300,,49396,0,,0,12.04367058
5300,44993,50673,7,184.7427672,18,27.90612273
5300,51000,64000,10,98.33333333,12,
5300,75958,91703,0,124.1821788,10,34.59906019
5300,97132,117343,22,109.9339079,11,35.8385427
5300,60826,80826,10,212.8917461,25,38.59149403
5300,83552,96809,0,,,28.42396191
5300,47449,63895,19,208.162714,20,19.7621137
5300,50934,62957,21,197.2419573,20,19.35050563
5400,53429,64505,5,69.54243011,16,36.4802363
5400,,65474,1,40.709849,4,37.84877104
5400,47844,52040,8,189.0343046,18,24.70113626
5400,45509,57453,4,95.6,22,
5400,59720,63450,5,199.9,20,
5400,86922,119846,5,185.0763473,28,26.3548893
5400,68625,82304,2,136.6329442,30,32.05002349
5400,65814,85848,4,122.9402886,15,44.09232568
5400,,75254,,,,23.16374295
5400,78300,88000,8,102.5,19,
5400,48152,55760,6,78.45212577,16,35.763638
5500,70481,82446,8,116.5919769,24,37.61268272
5500,,35402,,,,35.27207374
5500,87765,101053,22,55.55804904,13,31.37554242
5500,52897,65054,20,189.2953185,19,20.6541289
5500,24700,35675,1,153.9333333,27,
5500,,43132,,,,
5500,43486,81600,4,216.1333333,30,
5500,21359,30000,7,130.8,14,
5500,,13770,5,167.3666667,8,
5500,93051,115374,6,187.0205188,27,27.64674851
5500,87438,116679,6,186.424416,27,28.4175309
5500,78059,78179,5,,,20.67931358
5500,72147,69918,4,158.5344979,23,43.40443024
5500,40584,46645,4,136.3206375,13,34.49470897
5500,,12972,1,82.29426635,2,36.9867441
5500,37368,48502,9,48.995845,10,33.12648397
5500,,66251,1,43.72233695,3,41.45204353
5500,71644,72696,4,150.8658451,22,40.44256779
5500,85845,122205,5,172.2132767,26,32.67664088
5600,53793,66379,22,206.0991341,19,18.36954053
5600,69435,83489,14,200.418434,17,22.84109285
5600,29648,39907,11,180.5630691,13,21.55494966
5600,76407,77485,9,91.68377063,24,37.77335098
5600,5000,66700,31,204.0666667,11,
5600,55160,86800,3,148.1333333,14,
5600,41439,53893,8,181.3229899,19,24.65139574
5600,15275,47954,,204.335245,12,42.39776964
5700,100934,111496,23,117.4995929,12,38.75056267
5700,,74685,,,,24.27486528
5700,49514,58249,21,212.5391151,21,21.25802688
5700,76948,85753,7,128.4764515,25,37.85968784
5700,28127,36524,10,181.2829568,13,24.33953357
5700,,68591,0,69.64566047,4,41.18503956
5700,26927,35461,0,21.79935215,6,29.43966424
5700,49806,82242,3,210.3474786,30,31.2434087
5700,70000,84579,0.1,95.9,17,
5700,58400,75000,4,177.5,26,
5700,80437,109647,9.5,104.4,14,
5700,77213,92661,0,97.13317095,16,41.77788863
5700,62319,82923,4,117.6739652,15,42.46486629
5700,71556,79538,2,92.64308456,15,41.21001247
5700,,39052,3,272.2206283,25,39.89610462
5700,74172,79846,0,157.0097747,28,47.41522866
5700,28116,33450,0,15.39658739,7,30.0170133
5700,,64910,,,,33.85046122
5700,,69172,1,48.85366706,3,38.77368596
5800,,36385,2,266.5533944,25,43.30976454
5800,,41119,2,261.4052186,26,42.19194156
5800,75000,90543,18,300.4872058,23,38.94057536
5800,79296,86885,19,307.9748816,23,39.95910877
5800,27791,46833,3,83.28906275,13,30.18780539
5800,172595,250155,,126.4009836,21,43.20775979
5800,,34704,,,,34.17405555
5800,,73804,1,71.76655716,4,41.28742339
5800,46595,58191,5,80.13174641,17,24.14015367
5900,,28000,1,36.76666667,8,
5900,70973,77989,7,120.3794143,24,41.44250046
5900,,33100,,238.6,2,
5900,,51189,1,,0,12.74918065
5900,82912,91175,2,,,27.59527352
5900,25972,41856,2,157.9600114,27,40.62827818
5900,74187,78976,9,118.442491,24,40.11040743
5900,,66903,,,,32.78292683
5900,106650,,1,250.5666667,23,
6000,,69492,,,,32.97719723
6000,95232,115977,22,149.0229081,12,37.95433691
6000,47625,85925,0.1,154.1333333,26,
6000,24600,30500,4.5,116.1,34,
6000,65000,94355,26,69.3,34,
6000,,,13,122.7666667,23,
6000,33600,,2,140.9333333,20,
6000,42000,58305,19,90,13,
6000,32446,54904,2,51.73333333,9,
6000,9660,35900,8,136.3,6,
6000,22859,32200,4,83.33333333,20,
6000,16878,25850,1,218.6,34,
6000,72951,80000,22.8,343.9,47,
6000,43000,57460,1.6,101.5,13,
6000,53500,64790,0.1,105.4,18,
6000,69876,94394.07,0,179.5666667,32,
6000,51000,86125,6,222.1666667,24,
6000,53227,68700,3,122.7333333,23,
6000,,43300,,100.9333333,9,
6000,14000,61493,23,321.6333333,13,
6000,40000,54600,4,101.4,19,
6000,18793,27750,6,119.7,8,
6000,179397,200000,5,90.3,29,
6000,,95500,6,129.9,22,
6000,79046,103048,0,181.696538,32,37.28998992
6000,,53190,0,,0,15.174415
6000,,43683,,,,21.93549881
6000,129731,154113,12,213.5333333,19,
6100,48500,62500,7,111.3,11,
6100,,47400,,,,
6100,91704,114799,22,129.2500896,12,36.74676624
6100,47604,54966,5,70.69532973,18,24.76674453
6100,,35250,,303,12,
6100,62751,95617,1,138.6468632,13,31.75727069
6100,48300,53388,9,178.4896022,19,26.72002818
6100,68743,65321,3,153.0667831,22,40.15052706
6100,79636,87276,20,350.4361376,47,28.84827658
6100,,46830,0,,0,13.30601308
6100,78753,95433,0,,,28.92511742
6100,77265,97944,0,,,28.87646306
6200,75657,84368,4,122.244945,30,32.55254334
6200,171582,245730,,135.1089303,22,39.78381813
6200,,33909,,,,34.51740452
6200,46601,59486,5,84.63211066,18,25.35001036
6200,60354,87596,5,210.1730647,23,34.05481124
6200,45356,82054,2,201.3344875,29,29.66171016
6200,,41657,,293.9587236,11,30.19763073
6200,,,3,80.5,17,
6200,,80078,,,,25.37554416
6200,42100,57385,8.5,164.8,28,
6200,70793,71552,3,162.9451569,23,40.31539659
6200,73881,98550,0,182.8787798,31,37.19944569
6200,45787,64854,4,63.11702323,16,36.53874734
6200,75121,96462,0,,,27.16765596
6200,,51732,,,,12.32470709
6200,133882,155222,9,212.5376432,19,20.61678366
6200,75623,89634,24,324.6868294,47,28.2855321
6200,45564,61956,2,101.1670603,13,38.67514015
6300,99469,116260,23,124.7455955,12,35.64227011
6300,55000,69000,13,130.0666667,20,
6300,,72890,1,41.25011359,3,39.19806822
6300,44226,57779,7,63.62641325,16,33.11182911
6300,,39050,,294.4780476,12,31.44775041
6300,78724,80355,24,335.0741426,46,31.1772613
6300,59793,98314,2.2,120.7333333,8,
6300,65875,76000,0.8,84,12,
6300,45582,89005,2,209.3580469,30,29.59595551
6300,92659,117352,6,199.0119272,27,26.52004952
6300,58052,70091,9,153.7804385,30,21.71959598
6300,49498,64296,6,111.2065132,10,38.57713194
6300,79667,96988,1,,,29.83596072
6300,12476,32559,12,227.1299051,23,23.31951678
6300,69357,73726,3,163.2839332,22,42.40781425
6300,26655,29792,1,12.75926745,6,28.36185178
6400,25144,45200,25,128,17,
6400,99131,125652,8,419.3751538,50,42.24492757
6400,76577,83200,5,,,22.05503421
6400,47251,58157,0,104.7924684,13,36.41688697
6400,53476,70157,7,164.3154099,30,21.13798157
6400,81116,86148,8,262.1754261,11,42.06826818
6400,17491,63614,23,325.2993087,12,40.24440437
6400,65215,74332,9,213.8321032,24,40.64461955
6400,62746,75016,12,133.1015478,20,40.18812313
6400,76732,78084,8,109.1930214,26,37.96455432
6400,70035,78635,3,147.0771635,31,31.20612976
6400,39687,51666,9,177.591354,19,26.1209597
6400,51436,91284,4,209.6428984,30,31.97197121
6400,44968,62747,0,101.3914453,12,36.60294734
6400,9113,46351,,202.2507958,11,45.11431939
6400,28041,33438,1,10.42564285,6,29.75370028
6400,57887,74776,3,126.3286437,22,28.75634543
6500,47949,53102,9,180.8412499,19,27.83900666
6500,,37448,,333.2308999,11,29.01198058
6500,60054,70434,1,127.0627016,21,37.80035293
6500,80739,97630,1,,,30.53126454
6500,63144,76754,2,129.0777116,23,29.05543313
6500,33639,37345,11,191.0756559,13,24.22731934
6500,78741,90599,0,,,29.19886067
6500,51724,87770,4,209.3263116,29,30.3434486
6500,13600,,14,115.3666667,16,
6500,48000,61000,1,97.2997561,38,
6500,65000,80400,15,224.8666667,13,
6500,22789,35836,1,110.5666667,30,
6500,75113,115900,29,332.7333333,38,
6500,55000,88300,29,234.4,17,
6500,60000,70000,9,54.76666667,24,
6500,70300,107500,1,242.4666667,38,
6500,96314,105800,27,475.8,40,
6500,81145,117530,29,327.2006385,38,34.34583769
6500,,70886,,,,23.47088075
6500,183860,208910,4,86.45222694,29,69.8005248
6500,58689,72557,0,94.00805286,18,34.89841307
6600,62380,89742,31,232.5272907,16,26.16049489
6600,74376,84855,3,,,20.02835351
6600,,48800,0,,0,12.21943615
6600,68733,81973,5,96.9776672,14,42.21104678
6600,40926,50486,10,179.8008681,19,27.53237611
6600,95450,112630,23,122.8155841,12,36.77345872
6600,,46516,0,,0,14.84599073
6600,98415,126636,11,423.2096241,49,40.95709032
6700,,55396,,,,15.70399156
6700,55113,56486,4,84.41703046,17,23.64285383
6700,60301,70543,5,195.7808633,19,32.39759341
6700,,30544,2,283.8972313,14,24.12045156
6700,49367,59609,6,99.30370078,17,25.23136638
6700,58741,68225,9,173.5744163,31,23.58701323
6700,27510,42495,2,171.5264892,27,41.42859751
6700,,81239,19,,,40.8949317
6700,69773,83014,0,263.1734343,5,37.70699649
6700,51855,58084,21,193.7547457,19,19.5495717
6700,48430,64358,0,108.3517475,13,38.89419475
6700,29662,36195,1,112.1370807,30,38.52863281
6700,66587,70710,9,43.92338263,24,39.73857627
6700,,20631,4,174.7218341,8,62.24645112
6700,54161,59714,20,209.2063004,20,20.20351771
6700,134616,155034,13,215.4224064,19,19.49387198
6800,136951,160306,11,219.7356734,18,20.8850935
6800,138691,160063,12,208.420843,19,19.33336736
6800,49809,65074,7,116.6327333,10,39.21502891
6800,78292,86959,3,,,18.92721164
6800,139578,154602,12,201.9608343,18,22.32582879
6800,57439,74816,2,126.3032351,22,27.11865353
6800,76074,88178,22,341.4650556,46,27.52324614
6800,31000,42000,3.5,106.2666667,26,
6800,45150,57150,4,94.33333333,12,
6800,56155,57912,21,206.3063213,20,21.79851308
6800,,27410,6,2.033333333,5,
6800,178559,247611,,127.2341411,22,42.08390168
6800,,72310,1,48.81883648,3,40.78739323
6800,71666,99913,0,196.4649989,31,35.76160473
6800,75964,88754,19,298.7004822,23,39.10750164
6900,75880,113612,1,230.8055881,38,17.96588344
6900,70717,87466,2,112.5890607,15,41.4280899
6900,53776,51952,5,87.90011834,17,22.28699748
6900,53328,58088,2,101.5319079,21,35.76405836
6900,5816,,23,67.8,18,
6900,57257,63752,10,138.234778,22,38.37246088
6900,37055,83000,1,122.2666667,43,
6900,97662,110046,24,111.1233973,11,37.25315085
6900,49000,68280,1,61.9,22,
6900,,57067,,,,14.37098595
6900,50387,68443,7,105.827329,10,40.71766885
6900,49932,66042,20,204.4845828,19,21.85549413
6900,51384,84689,4,224.2470369,29,30.52615072
6900,,36191,,311.8698993,12,30.79062077
7000,98779,124827,9,421.541928,49,40.82887293
7000,73873,111781,0,231.7999135,38,19.27357946
7000,74795,99149,1,175.5714428,32,34.44966467
7000,,47462,,102.6573271,9,36.09407143
7000,78284,98214,0,171.8383862,31,36.24796303
7000,58128,93740,5,213.3630277,24,34.47530193
7000,81335,81018,22,341.6105761,47,27.76729977
7000,52287,87972,7,211.2844132,24,33.46140225
7000,58339,72432,10,197.3383979,24,39.84308734
7000,46238,66842,4,90.38040908,11,36.30952679
7000,142251,157250,5,87.83333333,21,
7000,19894,32500,4,134.7,16,
7000,27290,63500,6,,,
7000,18000,46520,17,183.1,23,
7000,66000,86300,3,242.4333333,8,
7000,46000,66660,1,138.2333333,9,
7000,120000,175450,8,219.1666667,20,
7000,58843,75300,1.5,103.6666667,7,
7000,7000,31200,5,265.0666667,12,
7000,29000,49000,11,234.4,32,
7000,5768,26600,,,,
7000,56636,76353,15,229.3,36,
7000,55000,63000,5,84.73333333,20,
7000,46225,59000,16,219.1333333,37,
7000,53194,81150,14,183.6333333,28,
7000,83000,97635,5.6,141,10,
7000,138841,160000,11,86.2,36,
7000,38800,53500,15,96.36666667,18,
7000,25000,49840,0.6,139,13,
7000,18000,25000,6.5,205.9666667,19,
7000,74500,81600,2,340.9,29,
7000,64300,119500,1,54.83333333,8,
7000,64255,68389,4,80.15243091,19,40.56186054
7000,,96783,20,,,40.73031534
7000,129959,161301,11,209.9862995,18,21.91795226
7000,58114,93391,6,200.0777551,24,31.73651179
7000,16047,67750,21,315.3214527,12,38.6936558
7100,39000,55000,12,192.7666667,31,
7100,54000,74800,7.5,71,18,
7100,,74753,2,48.85464465,4,41.3025469
7100,98490,114457,23,116.1000871,11,35.60189425
7100,54700,68500,19,155.2,12,
7100,,40185,3,272.9226847,25,41.91689953
7100,25896,33580,1,29.85636517,7,28.27147416
7100,120176,180104,8,221.6073242,18,32.67435897
7100,58639,72412,14,120.0334646,20,43.67874666
7100,57863,70969,0,65.87204481,21,26.82949019
7100,64850,76985,0,108.2171898,7,36.33755756
7100,53273,54378,5,84.83724997,17,22.86119965
7200,54600,65000,14,98.43333333,9,
7200,62329,78007,8,55.35880309,23,38.64027711
7200,57912,84806,15,241.5142498,35,35.06267566
7200,98691,115750,22,118.0001423,11,37.72035861
7200,79946,113807,1,238.458825,37,18.61728869
7200,36264,48240,15,82.16666667,12,
7200,46000,67000,24,142,14,
7200,43705,50000,9,235.3666667,16,
7200,,38061,,299.7527261,12,31.88003318
7200,15637,39660,6,354.2397634,42,33.62413345
7200,,74610,1,40.18213482,3,37.94125377
7200,71667,117325,0,241.0560781,38,18.51055133
7200,,76723,10,70.19389019,11,41.25070626
7200,71509,86484,4,,,20.09904978
7200,22832,31666,0,38.00326685,7,28.29568112
7300,58671,87975,3,74.06666667,16,
7300,60890,75785,6,45.96666667,13,
7300,28500,42050,3,,,
7300,60971.32,77375,2,,,
7300,131000,197500,1.5,68.03333333,23,
7300,55456,86766,6,240.0567715,23,31.7246985
7300,60973,79443,14,239.6202977,36,36.72713636
7300,93428,118184,10,411.9520505,50,40.39647435
7300,49064,64225,6,106.3759993,10,40.05191523
7300,139348,205981,1,60.42476076,22,36.81229063
7400,32832,50798,10,221.3384208,31,36.00942149
7400,75311,89905,0,,,27.20199961
7400,2063,100448,,96.13333333,14,
7400,,44651,2,271.9181691,25,42.9300431
7400,138033,163162,11,224.8470425,19,21.05757402
7400,88288,119677,5,194.37214,27,26.64608364
7400,75547,93839,0,,,28.16183185
7400,48924,86612,4,207.7684144,30,29.93791783
7400,73985,114849,0,238.5863034,38,18.42136986
7400,,54138,1,,0,12.21967996
7400,51974,59323,4,83.34671188,18,23.39763463
7400,56596,72861,3,141.9621493,23,28.30024564
7400,71576,89068,0,94.78223069,17,42.803422
7400,65032,83184,15,230.4202559,35,35.41511292
7400,72739,91425,3.5,128.8333333,26,
7400,82412,91326,19,316.9470825,24,37.90875019
7500,,51610,4,158.2666667,18,
7500,45864,57799,7,65.57119786,16,33.86574535
7500,57340,80000,4,86.23333333,14,
7500,47518,60252,16,220.6249839,37,26.71153647
7500,63573,80601,4,111.4351899,14,41.77344662
7500,32070,36811,1,228.0360001,6,30.16221411
7500,44744,60518,6,79.41122999,16,34.39744173
7500,,49804,,,,12.39123504
7500,72097,69408,4,155.3919622,23,41.60098336
7500,84479,104571,23,47.83285134,14,33.07501037
7500,88056,104794,25,56.75011314,14,30.53890697
7500,11358,36892,5,286.9228238,11,23.06292573
7500,59000,72000,5,295.8666667,19,
7500,,,21,158.9,21,
7500,35945,49750,3,122.0666667,23,
7500,18400,29375,6,147.1,9,
7500,63500,86125,5,136.1,8,
7500,33600,50125,2,146.9333333,18,
7500,57800,109600,4,124.1333333,18,
7500,,40150,5,,0,
7500,80440,72920,8,201.5,24,
7500,60000,87830,5,153.2666667,16,
7500,126000,151380,18,75.66666667,13,
7500,40936,50900,10,115.6,26,
7500,,26850,20,185.6333333,16,
7500,49100,85650,18,178.3346667,29,
7500,,71799,4,177.5,22,
7500,39600,42000,1,47.7,15,
7500,42077,91676,5.5,344.9,30,
7500,42721,67000,15,126.7666667,23,
7500,,,20,157.3284228,20,
7500,12115,35910,13,234.9007508,24,24.66227667
7500,67778,83368,15,227.2920898,17,24.09177036
7500,60192,76475,8,60.50362521,24,39.28051238
7500,57213,92458,28,243.1571192,16,23.99235335
7500,50000,80000,9,299.5666667,18,
7600,133475,203936,1,87.45287008,23,37.00596784
7600,77518,83727,4,,,22.65514029
7600,48829,62357,3,92.94135782,12,35.67227361
7600,58622,77726,15,249.6337607,36,34.88206644
7600,,28593,20,180.1689373,16,35.58340317
7600,49926,58588,5,64.66010695,16,35.05189677
7600,80900,99525,2,135.6401964,26,34.77708943
7600,,40341,3,265.0204754,25,43.30010531
7700,14776,32287,,,,34.88046232
7700,32243,36369,12,180.4157867,13,21.72081838
7700,53377,86018,16,187.1940112,28,24.21765848
7700,56622,70136,7,120.7645092,11,38.13234577
7700,35100,45000,10,206.9666667,23,
7700,,67350,,,,
7700,70451,81862,3,141.2686711,31,31.68194302
7700,20887,26958,0,17.4607499,6,30.23350474
7700,14589,33100,3,122.0666667,22,
7700,76056,83643,22,353.1956285,47,28.54452887
7700,,68131,1,56.60990629,3,40.49982045
7700,51045,91068,20,179.2409356,28,27.23109397
7800,44000,57500,11,95.36666667,23,
7800,,11702,0,44.62959157,7,21.27178537
7800,58399,65945,1,106.6313416,18,37.02476444
7800,42802,52422,8,193.0814529,18,26.49587929
7800,58364,66688,3,114.512158,18,37.92927387
7800,64503,85608,12,235.4853772,35,34.42324885
7800,69662,80498,4,100.428331,14,42.80734195
7800,45391,61743,12,105.0875938,22,36.70541274
7800,48200,59000,23,274.9666667,29,
7800,55000,62800,6,123.0333333,34,
7800,38506,50309,11,231.0011955,32,35.90611585
7800,55394,63567,23,262.0143577,29,38.98393849
7800,,30320,2,295.1134207,13,23.24567301
7800,109000,123500,6,174.4666667,19,
7800,53243,95065,7,220.8024443,24,31.82762682
7900,67222,75189,4,95.67687269,23,36.97971203
7900,44682,57285,7,110.0718569,25,25.40901671
7900,44690,45841,10,185.6215923,22,32.28572409
7900,126919,166566,10,,,
7900,40827,55757,14,87.60346244,11,31.8505639
7900,,31602,20,192.1211081,15,35.58605153
7900,,67081,1,59.08154143,4,41.07787822
7900,,71519,0,55.87386022,4,38.3750913
7900,77221,95316,4,116.3094934,25,35.42979658
7900,,35422,19,184.3900292,15,37.83671487
7900,42400,53000,2,95.36666667,20,
7900,55383,70020,12,80.7789415,8,44.85897732
7900,,37125,,285.1110151,12,29.41354976
7900,78532,122952,29,332.6450474,37,35.31155263
